"year","zone","ratio"
"2012","S01001881","4.46"
"2003","S01001881","4.45"
"2004","S01001882","20.68"
"2005","S01001882","20.73"
"2006","S01001882","20.73"
"2007","S01001882","20.79"
"2008","S01001882","20.85"
"2009","S01001882","20.85"
"2010","S01001882","20.85"
"2011","S01001882","20.85"
"2012","S01001882","20.85"
"2003","S01001882","20.68"
"2004","S01001883","15.88"
"2005","S01001883","15.88"
"2006","S01001883","15.88"
"2007","S01001883","19.87"
"2008","S01001883","19.87"
"2009","S01001883","19.87"
"2010","S01001883","19.87"
"2011","S01001883","19.87"
"2012","S01001883","19.87"
"2003","S01001883","15.88"
"2004","S01001884",36
"2005","S01001884","36.14"
"2006","S01001884","36.14"
"2007","S01001884","36.14"
"2008","S01001884","36.14"
"2009","S01001884","36.14"
"2010","S01001884","36.14"
"2011","S01001884","36.14"
"2012","S01001884","36.14"
"2003","S01001884","36.14"
"2004","S01001885","9.19"
"2005","S01001885","9.21"
"2006","S01001885","9.11"
"2007","S01001885","9.46"
"2008","S01001885","9.58"
"2009","S01001885","9.62"
"2010","S01001885","9.74"
"2011","S01001885","9.78"
"2012","S01001885","9.78"
"2003","S01001885","9.07"
"2004","S01001886","28.2"
"2005","S01001886","28.2"
"2006","S01001886","28.2"
"2007","S01001886","33.01"
"2008","S01001886","33.01"
"2009","S01001886","33.01"
"2010","S01001886","33.1"
"2011","S01001886","33.1"
"2012","S01001886","33.1"
"2003","S01001886","28.11"
"2004","S01001887","0.68"
"2005","S01001887","0.68"
"2006","S01001887","0.68"
"2007","S01001887","0.68"
"2008","S01001887","0.68"
"2009","S01001887","0.68"
"2010","S01001887","0.67"
"2011","S01001887","0.67"
"2012","S01001887","0.68"
"2003","S01001887","0.68"
"2004","S01001888","5.79"
"2005","S01001888","5.77"
"2006","S01001888","5.77"
"2007","S01001888","5.77"
"2008","S01001888","5.8"
"2009","S01001888","5.8"
"2010","S01001888","5.85"
"2011","S01001888","5.85"
"2012","S01001888","5.85"
"2003","S01001888","5.76"
"2004","S01001889","29.66"
"2005","S01001889","29.66"
"2006","S01001889","29.66"
"2007","S01001889","29.66"
